                       Manchete                       Valência (%)
Crivella anuncia corte de gastos e mudanças no IPTU.          3.32
A volta do pastor: Em nome de Deus e do tio.                  5.42
Alguns dos decretos.                                         80.00
Na Baixada, posses em meio a crises e até calamidade.        50.00
Austeridade é a promessa dos novos prefeitos.                76.48
Em SP, cerimônia alckmista.                                  27.39
Doria prega conciliação e diz que recuará quando preciso.    75.97
Homem mata a tiros ex-mulher, filho e mais dez.              50.00
Ataque deixa 39 mortos em clube em Istambul.                 50.00
Ronaldo Lemos: Estados ignoram privacidade de contribuinte   71.71
Crise econômica afeta inovação das empresas.                 93.00
Mônica Bergamo: Fiesp projeta um impulso maior da indústri   50.00
Entrevista na 2ª: James T. Hamilton: Sociedade lucra com j   50.00
Prefeitos tomam posse com discurso contra gasto e cargos.    50.00
Doria deixa privatizações para 2018.                         50.00
"Reforma da Previdência será aprovada no 1º semestre".       89.82
Turquia caça atirador que matou 39 em boate.                  8.33
Homem mata ex, filho e mais dez em réveillon.                50.00
Brasileiros vão para o Paraguai abrir fábricas.              50.00
Cenário é favorável à retomada.                              50.00
Construtoras da lava-jato legalizam dinheiro sujo.           85.22
McDermott: de garoto pobre a executivo de primeira linha.    16.59
Delações privilegiam "tubarões".                             50.00
Trabalhador rural pode vir a ser pago com casa.              50.00
Jornal premia os "executivos de Valor 2017".                 86.62
Ativistas contra os ovos de galinhas confinadas.             86.76
Maduro convovca constituinte, e oposição denuncia golpe.     50.00
As revelações da ex-secretária de Adriana ancelmo.           84.00
Na cadeia, cunha lava as marmitas.                           94.32
Ataque deixa índios feridos.                                 15.24
Temer cobra apoio da base para votar já a Previdência.       87.73
Cehab corre até risco de despejo.                             2.54
Prefeitura caça e pune fantasmas.                            50.00
Jovens estudam com medo.                                     50.00
Brasileiros estão menos pessimistas com a economia.          50.00
Debate sobre a Previdência deve ir além do fiscal.           50.00
Governo deve adiar votação na Câmara da nova aposentadoria   98.19
Ataque fere mais de dez indígenas no Maranhão.               73.05
Agenda de ministro privilegia ruralistas e deixa índio de    50.00
Maduro convoca Constituinte sem voto universal.              50.00
Exportação alavanca empregos em 13 de 25 setores da econom   50.00
1º de maio tem protestos de centrais contra Temer.           50.00
Manoel Pires: "Sem reforma é difícil ver alternativa".       50.00
Cervejaria apontada como laranja doou a 81 políticos.        50.00
Índio tem as mãos cortadas no Maranhão.                      22.62
Mãe pega pena de 48 anos por torturar a filha.               50.00
Trump aceita debater Coreia com Kim Jong-un.                 50.00
Cesar Cielo tenta retomar carreira.                          86.21
Temer joga tudo para barrar denúncia com votação alta        20.09
Juros caem e mercado já vê Selic a 7,5%                       2.83
MP busca o apoio de ruralistas                               90.56
Governo poupa, mas não pode gastar                           74.59
Temer vai ao limite                                          50.00
Lula é réu no caso do sítio de Atibaia                       50.00
ONU e países reagem a Maduro                                 84.62
Meta de 2018 pode ser revista                                50.00
Em ofensiva, Temer afaga ruralistas e o 'baixo clero'        72.84
Lula se torna réu pela 6ª vez, agora no caso do sítio em S   50.00
Justiça condena à prisão braço direito de Abilio Diniz       50.00
Chavismo volta a prender rivais do governo Maduro            99.01
Temer faz corpo a corpo em busca de 'indefinidos'            72.84
Lula vira réu pela 6ª vez, agora no caso do sítio de Atiba   50.00
Gilmar ataca Janot e pede 'decência' à PGR                   50.00
Governo abre mão de R$ 5,4 bilhões com 'Refis rural'         50.00
Mercado de capitais já supera crédito do BNDES.              75.68
Inativo leva 40% da folha nos Estados.                       50.00
Credores da Oi defendem intervenção.                         96.73
UE usa caso da carne para pedir abertura.                    50.00
